id,Name,Barcode,Manufactorer,Amount,GS1 Form,Food-Grade,Material,Colour
8279,Crunchy peanutbutter øko,5765228380017,Urtekram,230 g,jar,true,glass,clear
8280,Hvidløgsmayonnaise,8712566175086,Hellmann's,250 ml,bottle,true,plastic,clear
8284,Harissa rød chilipasta,5010338102869,Al'Fez,100 g,jar,true,glass,clear
8285,Iskaffe m. hasselnødsmag,5744001701027,Havafiesta,250 ml,bottle,true,glass,clear
8286,Crunchy peanutbutter,5707381014033,Paradiso,1.000 g,jar,true,glass,clear
8295,Espresso Instant Kaffe,7613036907798,Nescafé,100 g,jar,true,glass,clear
8296,Classic Instant Kaffe,5712871200711,Budget,200 g,jar,true,glass,clear
8300,Hele koriander,5710959092210,Karlsens,60 g,sleeve,true,plastic,clear
8301,Pastasauce m. mascarpone,5712870838595,Princip,350 g,jar,true,glass,clear
8303,Tomatsalsa stærk,7311312000897,Santa Maria,230 g,jar,true,glass,clear
8308,Fettuccine m. fuldkorn øko,5765228200186,Urtekram,400 g,sleeve,true,plastic,clear
8317,Blåbærmarmelade,5701211012619,Den Gamle Fabrik,380 g,jar,true,glass,clear
8318,Appelsinmarmelade,5701211012459,Den Gamle Fabrik,380 g,jar,true,glass,clear
8327,Granola m. hasselnødder og mandler u. tilsat sukker,5703161806669,Easis,350 g,bag,true,plastic,white
8332,Pasta m. tomat og mozzarella,8710522751237,Knorr,93 g,jar,true,plastic,clear
8335,Pad thai woksauce,8710605027303,Go-Tan,240 ml,bottle,true,glass,clear
8338,Pastafarve lilla,5711243103667,Sweetkitchen,25 g,jar,true,plastic,black
8341,Bearnaisesauce m. trøffelsmag,5712872505983,Vores,390 ml,jar,true,glass,clear
8343,Peberblanding,7311311016448,Santa Maria,258 g,cup-tub,true,plastic,clear
8345,Tacosauce medium,8410076410115,Old El Paso,230 g,jar,true,glass,clear
8349,Peberfrugtpesto m. chili,5701116015173,Svansø,140 g,jar,true,glass,clear
8356,Sirup m. vaniljesmag,3217690006428,1883,25 cl,bottle,true,glass,clear
8361,Earl grey,8712100619922,Lipton,40 g,box,true,fibre-based,black
8362,Hvidløgsdressing,5701018032438,Beauvais,370 ml,bottle,true,plastic,clear
8363,Pastasauce,4002359005411,Dolmio,750 g,jar,true,glass,clear
8365,Rød karrysauce,5010338023065,Blue Dragon,350 ml,jar,true,glass,clear
8369,Æblemos øko,5765228396629,Urtekram,700 g,jar,true,glass,clear
8374,Hvidløgsgranulat øko,5712874952594,Salling ØKO,80 g,cup-tub,true,plastic,clear
8377,Sesamfrø,5760932017532,Svansø,400 g,cup-tub,true,plastic,clear
